id,mentor,mentor_school,education,income_log,gpa
92716333,1,11,14,0,2.75
92716390,1,11,14,10.6,1.43
92716883,1,11,15,10.6,2.61
92716901,0,97,17,11.34,3.08
92716902,1,11,17,11.16,3.54
92717866,0,97,13,7.09,2.77
92717912,0,97,18,8.52,3.5
92718265,0,97,14,10.13,3.32
92718307,1,11,17,10.37,2.88
92718344,1,11,17,10.82,3.59
92718390,1,11,15,16.12,3.85
92718978,1,11,15,9.39,2.5
92719971,1,12,15,10.13,2.61
92719975,0,97,15,9.6,3.15
93316956,0,97,15,10.46,0.76
93374973,0,97,18,10.31,3.63
93374975,1,11,17,10.31,2.65
93374978,1,11,18,10.6,3.23
93500514,0,97,13,8.01,2.78
93504001,1,11,19,10.82,2.88
93504281,0,97,20,9.39,2.76
93504605,1,11,17,9.16,3.03
93506053,0,97,14,9.68,3.09
93506226,1,11,17,11.23,3.96
93506290,1,11,15,10.6,1.39
93506573,1,11,17,10.4,3.83
93507312,1,11,17,10.46,3.43
93540315,1,11,13,9.62,2.21
93544923,1,11,11,0,0.3
93546224,0,97,15,10.6,2.26
93570194,1,11,15,10.31,3.65
93570223,1,12,15,10.49,2.62
93570432,1,11,17,11.18,3.73
93570581,0,97,15,9.94,1.44
93570721,1,11,19,11.16,4
93570939,0,97,19,11.58,3.07
93571114,1,11,15,9.55,3.51
93571153,1,11,17,10.92,3.1
93571452,1,11,18,16.12,4
93571707,0,97,15,0,2.64
93571862,1,11,15,10,3.37
93572076,0,97,13,8.86,2.36
93572118,0,97,13,9.53,2.93
93572169,0,97,15,0,2.78
93572200,1,12,18,11.65,3.96
93572283,1,12,17,10.37,3.97
93572284,0,97,17,10.55,2.38
93572322,1,12,15,10.97,2.06
93572369,0,97,15,9.95,2.47
93572388,1,12,15,0,2.78
93572448,0,97,15,10.13,2.58
93572462,1,11,17,9.9,3.19
93572948,0,97,15,10.55,2.1
93572975,0,97,15,8.99,2.44
93573631,1,11,19,10.52,2.89
93574247,1,11,18,9.21,3.84
93574300,1,11,19,11.51,3.57
93574520,1,12,13,10.27,2.43
93574688,0,97,15,0,2.04
93574917,0,97,13,9.21,0.46
93575016,1,11,17,10.65,3.47
93575154,0,97,15,10.31,2
93575158,0,97,15,10.17,2.83
93575336,0,97,15,10.17,2.61
93575354,0,97,13.5,10.4,0.96
93575400,1,11,17,10.95,3.56
93575407,1,11,20,10.92,3.94
93575624,0,97,19,8.16,1.86
93576206,0,97,15,10.13,2.32
93576251,0,97,15,9.31,2.57
93576343,0,97,13,10.8,2
93576488,0,97,17,11.51,3.2
93576924,0,97,13,10.77,1.26
93577057,1,11,17,10.78,2.21
93577123,1,11,18,8.52,3.3
93577321,1,11,18,10.6,2.49
93578347,1,11,18,16.12,3
93578447,1,12,15,10.24,2.39
93578685,1,11,13.5,8.01,1.27
93578861,0,97,15,16.12,1.4
93579273,1,11,13,8.16,2
93579293,0,97,17,8.53,3.39
93579945,1,12,15,10.37,2.44
93579961,1,12,14,10.31,2.16
93579966,0,97,13,10.65,1.59
93579994,1,12,15,10.43,2.91
93579999,1,11,17,10.82,3.27
93606726,1,11,20,10.76,3.6
93608178,0,97,13,10.82,2.2
93614072,0,97,13,16.12,3.19
93614977,0,97,13.5,10.52,2.64
93619466,0,97,19,10.37,2.38
93676125,1,11,20,0,2.85
93676754,0,97,15,10.57,2.23
93678779,1,11,15,10.92,3.12
93710319,0,97,13,10.31,1.98
93710356,0,97,13,16.12,1.53
93710587,1,11,17,9.68,2.5
93711961,0,97,15,10.37,3.18
93712210,0,97,15,10.71,1.77
93712272,0,97,14,11.02,1
93712295,0,97,15,0,3.02
93712347,0,97,13.5,10.46,2.84
93712399,0,97,17,9.62,3.37
93713033,0,97,17,10.65,2.36
93713409,0,97,13,10.31,1.73
93714082,1,11,14,8.99,2.44
93714126,1,11,15,9.72,1.51
93714236,0,97,15,9.21,2.42
93714387,0,97,17,10.46,2.78
93715257,1,11,13,0,3.66
93715362,1,12,15,11,3.02
93716058,1,11,17,10.31,1.86
93716159,1,11,17,10.92,2.94
93716196,0,97,14,11.53,2.72
93716333,0,97,15,11,2.24
93716915,1,12,19,11.08,3.81
93716921,0,97,17,10.24,3.78
93716970,0,97,15,10.2,3.69
93717868,0,97,14,10.43,2.28
93718017,0,97,11,0,0.5
93718046,1,11,19,10.37,2.7
93718280,1,11,15,10.24,1.62
93718326,1,11,14,7.09,2.42
93718944,1,12,15,10.78,2.97
93719972,1,11,15,9.65,3.8
94500172,1,11,18,10.6,3.29
94500284,1,11,14,10.31,1.82
94504188,0,97,15,9.9,2.02
94504325,1,11,22,10.04,3.98
94504728,1,11,14,0,1.72
94504991,0,97,11,9.74,1.39
94504994,0,97,15,8.85,0.3
94506051,1,11,17,10.55,2.85
94506271,0,97,13.5,10.37,1.58
94506340,0,97,13,10.78,1.37
94506933,1,11,19,16.12,3.79
94508068,0,97,20,0,1.93
94508567,1,11,13,9.8,2.58
94508679,1,11,17,9.3,3.98
94508733,1,11,15,10.46,3.51
94544304,0,97,13,0,2.08
94570029,0,97,15,8.88,3.23
94570097,0,97,13,11.18,1.77
94570151,0,97,13.5,9.21,1.55
94571074,0,97,15,16.12,2.29
94571176,1,11,15,10.6,3.17
94571468,0,97,17,10.31,3.53
94571818,1,12,17,10.6,3.56
94571971,0,97,11,11.23,1.53
94572046,0,97,11,10.57,1.33
94572160,0,97,13,10.65,1.9
94572194,1,11,15,8.29,3.07
94572227,0,97,13,16.12,1.56
94572263,1,11,15,12,2.38
94572326,1,11,15,16.12,2.43
94572343,0,97,15,10.04,1.56
94572396,0,97,13.5,10.82,2.52
94572567,1,12,17,10.73,2.92
94572661,1,12,20,10.9,3.45
94572667,1,11,19,10.67,3.98
94572878,0,97,14,10,2.69
94572912,0,97,15,9.11,3.37
94572929,0,97,11,0,0.27
94572988,0,97,20,10.46,2.98
94572989,1,11,15,10.09,3.32
94573439,1,11,17,10.2,2.56
94573497,0,97,15,9.74,2.19
94573691,0,97,13,9.26,2.18
94573693,0,97,15,10.24,1.86
94573699,0,97,15,10.31,1.13
94573951,0,97,13,9.88,2.41
94574128,1,11,20,10.95,3.97
94574135,0,97,11,10.31,0
94574235,0,97,15,10.37,2.64
94574237,0,97,11,10.31,0.88
94574241,1,11,13.5,10.13,2.91
94574494,0,97,13,10.37,1.76
94574536,0,97,15,16.12,1.87
94574729,1,11,13,8.29,1.17
94574802,1,11,19,10.92,3.12
94574830,1,11,19,9.85,3.04
94575029,1,11,15,10.28,3.5
94575116,1,11,17,11.29,3.47
94575195,1,11,19,10.92,3.65
94575228,1,11,15,9.77,2.12
94575231,0,97,13,11.08,2.42
94575247,1,11,17,9.39,3.31
94575463,1,11,18,11.33,3.1
94575876,1,11,17,10.31,3.4
94575948,1,11,15,10.24,3.33
94575955,0,97,17,11.26,3.8
94575985,1,11,17,10.31,3.65
94575991,0,97,15,0,2
94576024,0,97,15,9.9,2.26
94576216,1,12,19,11,2.39
94576254,0,97,11,10.18,2.29
94576352,1,11,19,10.52,3.02
94576357,1,11,15,10.46,2.6
94576411,0,97,13,11.07,2.2
94576432,1,11,17,10.64,1.49
94576615,0,97,20,11.13,3.8
94576685,1,11,11,10.55,1.64
94577128,0,97,19,10.6,3.88
94577264,0,97,13,8.99,1.27
94577452,1,11,15,10.09,1.91
94577924,1,11,20,8.7,3.25
94578101,1,11,15,9.39,1.72
94578149,1,11,17,10.13,2.93
94578421,0,97,15,10.46,3.5
94578804,1,11,15,10.6,1.96
94578910,0,97,13,11.51,2.29
94578966,0,97,17,16.12,1.47
94579292,0,97,13,0,1.51
94579294,1,12,15,10.62,3.32
